Date,Closing Price,Pair
12/08/00,1.5167,USD_CAD
12/11/00,1.5272,USD_CAD
12/12/00,1.5282,USD_CAD
12/13/00,1.5221,USD_CAD
12/14/00,1.5178,USD_CAD
12/15/00,1.5207,USD_CAD
12/18/00,1.5263,USD_CAD
12/19/00,1.5237,USD_CAD
12/20/00,1.5223,USD_CAD
12/21/00,1.5205,USD_CAD
12/22/00,1.5179,USD_CAD
12/25/00,1.5188,USD_CAD
12/26/00,1.5101,USD_CAD
12/27/00,1.5121,USD_CAD
12/28/00,1.5004,USD_CAD
12/29/00,1.4988,USD_CAD
1/02/01,1.4919,USD_CAD
1/03/01,1.4987,USD_CAD
1/04/01,1.4982,USD_CAD
1/05/01,1.4995,USD_CAD
1/08/01,1.494,USD_CAD
1/09/01,1.4939,USD_CAD
1/10/01,1.502,USD_CAD
1/11/01,1.4942,USD_CAD
1/12/01,1.5001,USD_CAD
1/15/01,1.5011,USD_CAD
1/16/01,1.5066,USD_CAD
1/17/01,1.5115,USD_CAD
1/18/01,1.5127,USD_CAD
1/19/01,1.5125,USD_CAD
1/22/01,1.5031,USD_CAD
1/23/01,1.5109,USD_CAD
1/24/01,1.5127,USD_CAD
1/25/01,1.5077,USD_CAD
1/26/01,1.5048,USD_CAD
1/29/01,1.501,USD_CAD
1/30/01,1.5023,USD_CAD
1/31/01,1.4984,USD_CAD
2/01/01,1.4937,USD_CAD
2/02/01,1.4957,USD_CAD
2/05/01,1.5073,USD_CAD
2/06/01,1.5113,USD_CAD
2/07/01,1.51,USD_CAD
2/08/01,1.5105,USD_CAD
2/09/01,1.5107,USD_CAD
2/12/01,1.5217,USD_CAD
2/13/01,1.5217,USD_CAD
2/14/01,1.5283,USD_CAD
2/15/01,1.5293,USD_CAD
2/16/01,1.54,USD_CAD
2/19/01,1.5347,USD_CAD
2/20/01,1.5399,USD_CAD
2/21/01,1.5364,USD_CAD
2/22/01,1.5391,USD_CAD
2/23/01,1.5374,USD_CAD
2/26/01,1.5285,USD_CAD
2/27/01,1.53,USD_CAD
2/28/01,1.5361,USD_CAD
3/01/01,1.5476,USD_CAD
3/02/01,1.5445,USD_CAD
3/05/01,1.5475,USD_CAD
3/06/01,1.5377,USD_CAD
3/07/01,1.5499,USD_CAD
3/08/01,1.5457,USD_CAD
3/09/01,1.5473,USD_CAD
3/12/01,1.5517,USD_CAD
3/13/01,1.544,USD_CAD
3/14/01,1.5577,USD_CAD
3/15/01,1.5598,USD_CAD
3/16/01,1.5689,USD_CAD
3/19/01,1.5661,USD_CAD
3/20/01,1.5653,USD_CAD
3/21/01,1.5753,USD_CAD
3/22/01,1.5715,USD_CAD
3/23/01,1.5647,USD_CAD
3/26/01,1.5569,USD_CAD
3/27/01,1.5679,USD_CAD
3/28/01,1.5645,USD_CAD
3/29/01,1.5738,USD_CAD
3/30/01,1.5764,USD_CAD
4/02/01,1.5813,USD_CAD
4/03/01,1.5767,USD_CAD
4/04/01,1.5736,USD_CAD
4/05/01,1.5738,USD_CAD
4/06/01,1.5647,USD_CAD
4/09/01,1.5647,USD_CAD
4/10/01,1.5558,USD_CAD
4/11/01,1.5627,USD_CAD
4/12/01,1.5625,USD_CAD
4/13/01,1.5613,USD_CAD
4/16/01,1.5621,USD_CAD
4/17/01,1.5647,USD_CAD
4/18/01,1.5642,USD_CAD
4/19/01,1.5484,USD_CAD
4/20/01,1.5449,USD_CAD
4/23/01,1.5485,USD_CAD
4/24/01,1.5457,USD_CAD
4/25/01,1.5485,USD_CAD
4/26/01,1.5427,USD_CAD
4/27/01,1.5423,USD_CAD
4/30/01,1.5353,USD_CAD
5/01/01,1.5327,USD_CAD
5/02/01,1.5316,USD_CAD
5/03/01,1.533,USD_CAD
5/04/01,1.5353,USD_CAD
5/07/01,1.5422,USD_CAD
5/08/01,1.5422,USD_CAD
5/09/01,1.5389,USD_CAD
5/10/01,1.5431,USD_CAD
5/11/01,1.5507,USD_CAD
5/14/01,1.5529,USD_CAD
5/15/01,1.5457,USD_CAD
5/16/01,1.5391,USD_CAD
5/17/01,1.5362,USD_CAD
5/18/01,1.5338,USD_CAD
5/21/01,1.5372,USD_CAD
5/22/01,1.5405,USD_CAD
5/23/01,1.5513,USD_CAD
5/24/01,1.5465,USD_CAD
5/25/01,1.5455,USD_CAD
5/28/01,1.5439,USD_CAD
5/29/01,1.5365,USD_CAD
5/30/01,1.5433,USD_CAD
5/31/01,1.5383,USD_CAD
6/01/01,1.5365,USD_CAD
6/04/01,1.5367,USD_CAD
6/05/01,1.5311,USD_CAD
6/06/01,1.5235,USD_CAD
6/07/01,1.5215,USD_CAD
6/08/01,1.5175,USD_CAD
6/11/01,1.5195,USD_CAD
6/12/01,1.5243,USD_CAD
6/13/01,1.5168,USD_CAD
6/14/01,1.5205,USD_CAD
6/15/01,1.5241,USD_CAD
6/18/01,1.5339,USD_CAD
6/19/01,1.5342,USD_CAD
6/20/01,1.5333,USD_CAD
6/21/01,1.5232,USD_CAD
6/22/01,1.5225,USD_CAD
6/25/01,1.5176,USD_CAD
6/26/01,1.5172,USD_CAD
6/27/01,1.5171,USD_CAD
6/28/01,1.5224,USD_CAD
6/29/01,1.5147,USD_CAD
7/02/01,1.514,USD_CAD
7/03/01,1.5111,USD_CAD
7/04/01,1.5113,USD_CAD
7/05/01,1.5129,USD_CAD
7/06/01,1.5227,USD_CAD
7/09/01,1.5216,USD_CAD
7/10/01,1.5199,USD_CAD
7/11/01,1.526,USD_CAD
7/12/01,1.5289,USD_CAD
7/13/01,1.5365,USD_CAD
7/16/01,1.5379,USD_CAD
7/17/01,1.5384,USD_CAD
7/18/01,1.5373,USD_CAD
7/19/01,1.5407,USD_CAD
7/20/01,1.5433,USD_CAD
7/23/01,1.5451,USD_CAD
7/24/01,1.5401,USD_CAD
7/25/01,1.5367,USD_CAD
7/26/01,1.5338,USD_CAD
7/27/01,1.5315,USD_CAD
7/30/01,1.5299,USD_CAD
7/31/01,1.5335,USD_CAD
8/01/01,1.5363,USD_CAD
8/02/01,1.5343,USD_CAD
8/03/01,1.5291,USD_CAD
8/06/01,1.5254,USD_CAD
8/07/01,1.5356,USD_CAD
8/08/01,1.5342,USD_CAD
8/09/01,1.5392,USD_CAD
8/10/01,1.5393,USD_CAD
8/13/01,1.5381,USD_CAD
8/14/01,1.5356,USD_CAD
8/15/01,1.5273,USD_CAD
8/16/01,1.5377,USD_CAD
8/17/01,1.5429,USD_CAD
8/20/01,1.545,USD_CAD
8/21/01,1.5484,USD_CAD
8/22/01,1.5411,USD_CAD
8/23/01,1.5402,USD_CAD
8/24/01,1.5392,USD_CAD
8/27/01,1.5402,USD_CAD
8/28/01,1.5391,USD_CAD
8/29/01,1.5455,USD_CAD
8/30/01,1.545,USD_CAD
8/31/01,1.5512,USD_CAD
9/03/01,1.5513,USD_CAD
9/04/01,1.5588,USD_CAD
9/05/01,1.5566,USD_CAD
9/06/01,1.5573,USD_CAD
9/07/01,1.5655,USD_CAD
9/10/01,1.5631,USD_CAD
9/11/01,1.5647,USD_CAD
9/12/01,1.562,USD_CAD
9/13/01,1.5664,USD_CAD
9/14/01,1.5643,USD_CAD
9/17/01,1.5703,USD_CAD
9/18/01,1.5722,USD_CAD
9/19/01,1.569,USD_CAD
9/20/01,1.5719,USD_CAD
9/21/01,1.5715,USD_CAD
9/24/01,1.5702,USD_CAD
9/25/01,1.5705,USD_CAD
9/26/01,1.5722,USD_CAD
9/27/01,1.578,USD_CAD
9/28/01,1.5794,USD_CAD
10/01/01,1.5723,USD_CAD
10/02/01,1.5677,USD_CAD
10/03/01,1.5688,USD_CAD
10/04/01,1.5694,USD_CAD
10/05/01,1.5621,USD_CAD
10/08/01,1.5621,USD_CAD
10/09/01,1.5657,USD_CAD
10/10/01,1.5677,USD_CAD
10/11/01,1.5649,USD_CAD
10/12/01,1.563,USD_CAD
10/15/01,1.558,USD_CAD
10/16/01,1.5657,USD_CAD
10/17/01,1.5707,USD_CAD
10/18/01,1.5778,USD_CAD
10/19/01,1.5748,USD_CAD
10/22/01,1.5788,USD_CAD
10/23/01,1.5723,USD_CAD
10/24/01,1.5743,USD_CAD
10/25/01,1.5738,USD_CAD
10/26/01,1.5765,USD_CAD
10/29/01,1.5751,USD_CAD
10/30/01,1.5783,USD_CAD
10/31/01,1.5887,USD_CAD
11/01/01,1.5957,USD_CAD
11/02/01,1.5916,USD_CAD
11/05/01,1.5933,USD_CAD
11/06/01,1.5924,USD_CAD
11/07/01,1.5987,USD_CAD
11/08/01,1.5993,USD_CAD
11/09/01,1.6032,USD_CAD
11/12/01,1.6029,USD_CAD
11/13/01,1.5942,USD_CAD
11/14/01,1.5921,USD_CAD
11/15/01,1.5875,USD_CAD
11/16/01,1.5893,USD_CAD
11/19/01,1.5885,USD_CAD
11/20/01,1.5951,USD_CAD
11/21/01,1.6007,USD_CAD
11/22/01,1.5998,USD_CAD
11/23/01,1.5993,USD_CAD
11/26/01,1.6001,USD_CAD
11/27/01,1.5932,USD_CAD
11/28/01,1.5842,USD_CAD
11/29/01,1.581,USD_CAD
11/30/01,1.5732,USD_CAD
12/03/01,1.5769,USD_CAD
12/04/01,1.5713,USD_CAD
12/05/01,1.5741,USD_CAD
12/06/01,1.5727,USD_CAD
12/07/01,1.5756,USD_CAD
12/10/01,1.5784,USD_CAD
12/11/01,1.5736,USD_CAD
12/12/01,1.5669,USD_CAD
12/13/01,1.5693,USD_CAD
12/14/01,1.5614,USD_CAD
12/17/01,1.5669,USD_CAD
12/18/01,1.5738,USD_CAD
12/19/01,1.5746,USD_CAD
12/20/01,1.579,USD_CAD
12/21/01,1.5852,USD_CAD
12/24/01,1.5938,USD_CAD
12/25/01,1.5949,USD_CAD
12/26/01,1.6011,USD_CAD
12/27/01,1.5975,USD_CAD
12/28/01,1.5907,USD_CAD
12/31/01,1.592,USD_CAD
1/02/02,1.5978,USD_CAD
1/03/02,1.5982,USD_CAD
1/04/02,1.5949,USD_CAD
1/07/02,1.5991,USD_CAD
1/08/02,1.5958,USD_CAD
1/09/02,1.5967,USD_CAD
1/10/02,1.5988,USD_CAD
1/11/02,1.5967,USD_CAD
